id,uniquenessIndex,name,backgroundId,skullGene,hairGene,eyesGene,noseGene,teethGene,bonesGene,beardGene,skills,rank,gameToken,intelligence,strength,dexterity,stamina,accuracy,speed,fireLord,regenerationLord,iceLord,poisonLord,lightningLord,archmage,immortal,hairGroup,eyesGroup,beardGroup,backgroundColor,skullColor,bonesColor,beardColor,eyesColor,hairColor,base_count,color_count,fastKick,ironFists,skill_count,match_code,match_desc
33,22,Xeakne,32,3,70,52,1,3,15,8,['FAST_KICK'],0,False,13,9,7,3,8,1,False,False,False,False,False,False,False,5,5,2,#f8f0fc,#673ab7,,,#4caf50,#009688,6,4,True,False,1,0,
34,12,Sthrextrett,6,3,25,84,3,0,1,8,['POISON_LORD'],0,False,9,9,11,9,2,1,False,False,False,True,False,False,False,2,7,2,#ced4da,#673ab7,#4caf50,,#ffeb3b,#4caf50,7,4,False,False,1,1,bones=hair
35,25,Tabro,46,3,122,39,3,4,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,12,7,5,6,1,1,False,False,False,False,False,False,False,9,2,2,#9775fa,#673ab7,,,#cddc39,,5,3,True,True,2,0,
36,1,Old Jack,8,4,82,13,1,1,7,6,"['IMMORTALITY', 'ARCHMAGE', 'POISON_LORD']",0,False,15,4,3,6,5,7,False,False,False,True,False,True,True,6,4,1,#868e96,#3f51b5,#000000,#263238,#263238,#2196f3,8,4,False,False,3,1337,
37,22,Stiulfauddiuz,71,5,66,33,2,3,15,8,['FAST_KICK'],0,False,20,6,1,1,4,10,False,False,False,False,False,False,False,5,2,2,#1864ab,#03a9f4,,,#e91e63,#673ab7,6,4,True,False,1,0,
38,22,Blagramiuth,70,12,86,9,1,2,15,8,['FAST_KICK'],0,False,10,9,1,10,8,2,False,False,False,False,False,False,False,6,3,2,#1971c2,#795548,,,#f44336,#009688,6,4,True,False,1,0,
39,22,Vregrorr,114,6,11,61,7,4,15,8,['FAST_KICK'],0,False,8,7,6,13,6,1,False,False,False,False,False,False,False,1,6,2,#ffec99,#009688,,,#9c27b0,#ffeb3b,6,4,True,False,1,0,
40,26,Ghuulmaol,28,11,122,64,2,5,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,8,8,1,4,2,8,False,False,False,False,False,False,False,9,6,2,#e64980,#ff5722,,,#2196f3,,5,3,True,True,2,0,
41,1,Captain Flint,66,3,27,67,3,5,10,3,"['FIRE_LORD', 'IMMORTALITY', 'ARCHMAGE']",0,False,12,6,8,8,4,2,True,False,False,False,False,True,True,2,6,1,#4dabf7,#673ab7,#9c27b0,#212121,#8bc34a,#ffeb3b,8,6,False,False,3,1337,
42,1,Lilith,47,7,64,31,2,3,8,8,"['FIRE_LORD', 'IMMORTALITY']",0,False,11,5,9,7,2,6,True,False,False,False,False,False,True,5,2,2,#845ef7,#4caf50,#f44336,,#ffffff,#e91e63,7,5,False,False,2,1337,
43,1,Slayer,81,13,122,56,7,5,14,6,"['IMMORTALITY', 'ARCHMAGE', 'ICE_LORD']",0,False,5,9,5,5,6,1,False,False,True,False,False,True,True,9,5,1,#0b7285,#607d8b,#00bcd4,#263238,#ff5722,,7,4,False,False,3,1337,
44,22,Fruusziol,25,12,81,8,0,6,15,8,['FAST_KICK'],0,False,11,10,1,11,1,8,False,False,False,False,False,False,False,6,3,2,#faa2c1,#795548,,,#ff5722,#3f51b5,6,4,True,False,1,0,
45,22,Raophrouxxiuth,130,2,93,30,6,1,15,8,['FAST_KICK'],0,False,9,11,3,11,3,3,False,False,False,False,False,False,False,7,2,2,#e8590c,#9c27b0,,,#546e7a,#263238,6,3,True,False,1,0,
46,12,Bossixak,37,4,89,41,2,6,4,8,['LIGHTNING_LORD'],0,False,12,15,1,11,1,2,False,False,False,False,True,False,False,6,2,2,#cc5de8,#3f51b5,#ffc107,,#ffc107,#ffc107,7,3,False,False,1,10,bones=eyes=hair
47,22,Aogriokioth,113,14,37,50,4,2,15,8,['FAST_KICK'],0,False,11,2,7,10,8,2,False,False,False,False,False,False,False,4,5,2,#fff3bf,#ffffff,,,#00bcd4,#2196f3,6,4,True,False,1,0,
48,22,Priaxxek,129,5,41,3,0,6,15,8,['FAST_KICK'],0,False,8,5,8,7,10,2,False,False,False,False,False,False,False,4,3,2,#f76707,#03a9f4,,,#00bcd4,#4caf50,6,4,True,False,1,0,
49,22,Keahraomlou,84,12,54,11,0,7,15,8,['FAST_KICK'],0,False,5,4,2,11,15,3,False,False,False,False,False,False,False,0,0,2,#96f2d7,#795548,,,,#009688,6,3,True,False,1,0,
50,12,Dhourriadhuuth,118,3,103,50,4,8,2,8,['LIGHTNING_LORD'],0,False,8,8,6,12,6,1,False,False,False,False,True,False,False,7,5,2,#fab005,#673ab7,#cddc39,,#00bcd4,#ffeb3b,7,5,False,False,1,0,
51,22,Glialion,63,10,104,84,4,8,15,8,['FAST_KICK'],0,False,6,12,2,16,2,2,False,False,False,False,False,False,False,7,7,2,#d0ebff,#ff9800,,,#ffeb3b,#ffc107,6,4,True,False,1,0,
52,22,Vanunraak,121,1,39,70,4,10,15,8,['FAST_KICK'],0,False,4,9,4,11,6,6,False,False,False,False,False,False,False,4,6,2,#e67700,#e91e63,,,#ffc107,#00bcd4,6,4,True,False,1,0,
53,15,Lonreth,65,7,122,2,6,5,15,4,"['ARCHMAGE', 'FAST_KICK']",0,False,12,1,6,2,6,4,False,False,False,False,False,True,False,9,3,1,#74c0fc,#4caf50,,#455a64,#2196f3,,6,4,True,False,2,0,
54,25,Sloddao,43,13,122,34,2,6,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,15,9,3,3,1,1,False,False,False,False,False,False,False,9,2,2,#e5dbff,#607d8b,,,#9c27b0,,5,3,True,True,2,0,
55,16,Rougrou,89,14,122,14,6,6,6,8,"['IRON_FISTS', 'REGENERATION_LORD']",0,False,4,1,4,9,9,3,False,True,False,False,False,False,False,9,1,2,#0ca678,#ffffff,#ffcdd2,,,,6,3,False,True,2,0,
56,16,Wriasthu,12,8,122,7,2,0,12,8,"['ICE_LORD', 'IRON_FISTS']",0,False,1,8,7,13,1,2,False,False,True,False,False,False,False,9,3,2,#fff5f5,#cddc39,#3f51b5,,#ffeb3b,,6,4,False,True,2,0,
57,12,Brirzhuzeth,67,8,49,5,4,5,14,8,['ICE_LORD'],0,False,13,4,6,7,2,8,False,False,True,False,False,False,False,0,3,2,#339af0,#cddc39,#00bcd4,,#ffcdd2,#9c27b0,7,5,False,False,1,0,
58,22,Soingou,32,6,101,64,0,0,15,8,['FAST_KICK'],0,False,14,4,8,2,10,2,False,False,False,False,False,False,False,7,6,2,#f8f0fc,#009688,,,#2196f3,#4caf50,6,4,True,False,1,0,
59,22,Slogeca,68,5,103,8,1,7,15,8,['FAST_KICK'],0,False,12,7,2,11,4,4,False,False,False,False,False,False,False,7,3,2,#228be6,#03a9f4,,,#ff5722,#ffeb3b,6,4,True,False,1,0,
60,22,Thuggebla,53,12,70,77,6,9,15,8,['FAST_KICK'],0,False,16,8,1,7,6,2,False,False,False,False,False,False,False,5,7,2,#dbe4ff,#795548,,,#673ab7,#009688,6,4,True,False,1,0,
61,22,Zaursebrec,124,12,37,72,7,8,15,8,['FAST_KICK'],0,False,10,8,1,11,2,8,False,False,False,False,False,False,False,4,6,2,#ffd8a8,#795548,,,#ffcdd2,#2196f3,6,4,True,False,1,0,
62,22,Viadhiz,59,0,50,76,2,6,15,8,['FAST_KICK'],0,False,18,14,1,4,1,4,False,False,False,False,False,False,False,0,7,2,#4263eb,#f44336,,,#9c27b0,#673ab7,6,4,True,False,1,0,
63,12,Hidukraan,30,5,79,53,6,2,6,8,['REGENERATION_LORD'],0,False,14,5,5,6,2,8,False,True,False,False,False,False,False,6,5,2,#c2255c,#03a9f4,#ffcdd2,,#cddc39,#9c27b0,7,5,False,False,1,0,
64,22,Umfaotrou,91,1,49,59,4,9,15,8,['FAST_KICK'],0,False,12,6,4,6,6,6,False,False,False,False,False,False,False,0,6,2,#087f5b,#e91e63,,,#ffffff,#9c27b0,6,4,True,False,1,0,
65,26,Cobriukkir,85,4,122,15,2,8,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,10,2,4,6,6,2,False,False,False,False,False,False,False,9,1,2,#63e6be,#3f51b5,,,#ffffff,,5,3,True,True,2,0,
66,26,Sloiblistrass,0,5,122,11,4,5,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,9,1,3,8,5,5,False,False,False,False,False,False,False,9,0,2,#ffffff,#03a9f4,,,,,5,2,True,True,2,0,
67,25,Xukraol,59,3,122,30,1,9,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,15,8,3,2,1,2,False,False,False,False,False,False,False,9,2,2,#4263eb,#673ab7,,,#546e7a,,5,3,True,True,2,0,
68,25,Russu,51,4,122,22,3,4,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,14,4,2,2,6,2,False,False,False,False,False,False,False,9,4,2,#5f3dc4,#3f51b5,,,#00bcd4,,5,3,True,True,2,0,
69,22,Treakaurdutt,2,9,91,15,2,9,15,8,['FAST_KICK'],0,False,7,6,9,12,1,6,False,False,False,False,False,False,False,6,1,2,#f8f9fa,#ffeb3b,,,#ffffff,#ffcdd2,6,4,True,False,1,0,
70,1,La Llorona,0,13,110,42,0,8,9,8,"['IMMORTALITY', 'REGENERATION_LORD']",0,False,12,11,6,11,1,1,False,True,False,False,False,False,True,8,2,2,#ffffff,#607d8b,#e91e63,,#ff9800,#9c27b0,7,5,False,False,2,1337,
71,22,Ghensius,29,7,69,33,5,2,15,8,['FAST_KICK'],0,False,6,4,8,2,8,12,False,False,False,False,False,False,False,5,2,2,#d6336c,#4caf50,,,#e91e63,#00bcd4,6,4,True,False,1,0,
72,22,Maubriandruth,65,10,79,50,5,2,15,8,['FAST_KICK'],0,False,14,8,2,6,8,2,False,False,False,False,False,False,False,6,5,2,#74c0fc,#ff9800,,,#00bcd4,#9c27b0,6,4,True,False,1,0,
73,12,Shousthearou,105,5,29,4,7,8,12,8,['ICE_LORD'],0,False,6,6,11,11,4,2,False,False,True,False,False,False,False,2,3,2,#c0eb75,#03a9f4,#3f51b5,,#4caf50,#ff5722,7,5,False,False,1,0,
74,22,Shialrorsea,26,9,29,64,6,2,15,8,['FAST_KICK'],0,False,8,10,2,10,2,8,False,False,False,False,False,False,False,2,6,2,#f783ac,#ffeb3b,,,#2196f3,#ff5722,6,4,True,False,1,0,
75,16,Drubess,113,4,122,84,5,2,5,8,"['FIRE_LORD', 'IRON_FISTS']",0,False,6,5,4,13,1,2,True,False,False,False,False,False,False,9,7,2,#fff3bf,#3f51b5,#ff5722,,#ffeb3b,,6,4,False,True,2,0,
76,22,Gosol,80,13,101,68,4,6,15,8,['FAST_KICK'],0,False,5,3,16,8,8,1,False,False,False,False,False,False,False,7,6,2,#0c8599,#607d8b,,,#cddc39,#4caf50,6,4,True,False,1,0,
77,16,Blodrio,16,5,122,80,2,2,12,8,"['ICE_LORD', 'IRON_FISTS']",0,False,8,6,2,2,8,4,False,False,True,False,False,False,False,9,7,2,#ff8787,#03a9f4,#3f51b5,,#00bcd4,,6,4,False,True,2,0,
78,11,Lluushio,71,13,83,49,5,4,15,4,"['ARCHMAGE', 'FAST_KICK']",0,False,21,3,3,1,6,6,False,False,False,False,False,True,False,6,5,1,#1864ab,#607d8b,,#455a64,#2196f3,#03a9f4,7,5,True,False,2,0,
79,25,Caaceth,97,4,122,44,0,8,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,9,1,9,7,2,2,False,False,False,False,False,False,False,9,5,2,#51cf66,#3f51b5,,,#ffffff,,5,3,True,True,2,0,
80,22,Slicheldauz,102,2,0,20,7,1,15,8,['FAST_KICK'],0,False,12,7,5,10,3,3,False,False,False,False,False,False,False,1,4,2,#f4fce3,#9c27b0,,,#673ab7,#263238,6,3,True,False,1,0,
81,12,Dossaas,45,4,103,42,4,9,10,8,['FIRE_LORD'],0,False,12,11,2,13,1,2,True,False,False,False,False,False,False,7,2,2,#b197fc,#3f51b5,#9c27b0,,#ff9800,#ffeb3b,7,5,False,False,1,0,
82,12,Dubaodditt,126,13,59,79,7,3,14,8,['ICE_LORD'],0,False,9,14,3,10,2,2,False,False,True,False,False,False,False,0,7,2,#ffa94d,#607d8b,#00bcd4,,#2196f3,#ff5722,7,5,False,False,1,0,
83,11,Ghinsiummouh,127,3,11,47,4,9,15,3,"['ARCHMAGE', 'FAST_KICK']",0,False,12,15,2,11,1,1,False,False,False,False,False,True,False,1,5,1,#ff922b,#673ab7,,#212121,#673ab7,#ffeb3b,7,4,True,False,2,1,skull=eyes
84,22,Thaozoi,119,3,104,12,3,5,15,8,['FAST_KICK'],0,False,6,11,2,15,3,3,False,False,False,False,False,False,False,7,3,2,#f59f00,#673ab7,,,#263238,#ffc107,6,3,True,False,1,0,
85,22,Khaontaan,57,10,73,51,3,5,15,8,['FAST_KICK'],0,False,7,9,3,13,6,2,False,False,False,False,False,False,False,5,5,2,#5c7cfa,#ff9800,,,#009688,#ffeb3b,6,4,True,False,1,0,
86,25,Edrux,23,10,122,37,7,0,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,4,7,2,5,6,6,False,False,False,False,False,False,False,9,2,2,#ffdeeb,#ff9800,,,#00bcd4,,5,3,True,True,2,0,
87,25,Dhaakiobbauh,28,13,122,27,2,7,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,6,6,4,2,1,12,False,False,False,False,False,False,False,9,4,2,#e64980,#607d8b,,,#ffcdd2,,5,3,True,True,2,0,
88,22,Dronti,67,9,12,63,5,2,15,8,['FAST_KICK'],0,False,12,8,2,12,2,4,False,False,False,False,False,False,False,1,6,2,#339af0,#ffeb3b,,,#3f51b5,#ffc107,6,4,True,False,1,0,
89,22,Drurzinek,96,6,31,61,5,3,15,8,['FAST_KICK'],0,False,8,9,8,5,8,2,False,False,False,False,False,False,False,2,6,2,#69db7c,#009688,,,#9c27b0,#f44336,6,4,True,False,1,0,
90,22,Yaalfurdeal,17,8,73,11,0,5,15,8,['FAST_KICK'],0,False,1,8,7,17,3,5,False,False,False,False,False,False,False,5,0,2,#ff6b6b,#cddc39,,,,#ffeb3b,6,3,True,False,1,0,
91,16,Tauthrauh,10,8,122,77,1,5,5,8,"['FIRE_LORD', 'IRON_FISTS']",0,False,9,7,8,6,1,1,True,False,False,False,False,False,False,9,7,2,#343a40,#cddc39,#ff5722,,#673ab7,,6,4,False,True,2,0,
92,25,Kriphruss,56,9,122,16,7,4,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,9,3,5,11,1,2,False,False,False,False,False,False,False,9,1,2,#748ffc,#ffeb3b,,,#ffffff,,5,3,True,True,2,0,
93,22,Theghabu,129,5,117,63,7,10,15,8,['FAST_KICK'],0,False,12,6,5,11,2,4,False,False,False,False,False,False,False,8,6,2,#f76707,#03a9f4,,,#3f51b5,#cddc39,6,4,True,False,1,0,
94,16,Xolti,23,9,122,23,2,6,5,8,"['FIRE_LORD', 'IRON_FISTS']",0,False,2,4,8,8,2,6,True,False,False,False,False,False,False,9,4,2,#ffdeeb,#ffeb3b,#ff5722,,#4caf50,,6,4,False,True,2,0,
95,22,Rigrirr,27,10,82,44,4,3,15,8,['FAST_KICK'],0,False,11,7,3,9,2,8,False,False,False,False,False,False,False,6,5,2,#f06595,#ff9800,,,#ffffff,#2196f3,6,4,True,False,1,0,
96,11,Jahliuthrioz,67,6,109,11,1,6,15,1,"['ARCHMAGE', 'FAST_KICK']",0,False,10,2,2,4,11,11,False,False,False,False,False,True,False,8,0,0,#339af0,#009688,,#263238,,#e91e63,7,3,True,False,2,0,
97,22,Brurzhi,6,0,72,35,2,9,15,8,['FAST_KICK'],0,False,9,10,8,9,1,4,False,False,False,False,False,False,False,5,2,2,#ced4da,#f44336,,,#3f51b5,#cddc39,6,4,True,False,1,0,
98,22,Jidrugihr,48,11,5,87,5,6,15,8,['FAST_KICK'],0,False,13,10,1,6,2,8,False,False,False,False,False,False,False,1,7,2,#7950f2,#ff5722,,,#ffcdd2,#2196f3,6,4,True,False,1,0,
99,5,Phrianion,44,2,122,79,3,8,2,5,"['ARCHMAGE', 'LIGHTNING_LORD']",0,False,18,6,1,2,2,2,False,False,False,False,True,True,False,9,7,1,#d0bfff,#9c27b0,#cddc39,#37474f,#2196f3,,7,5,False,False,2,0,
100,25,Oixxiz,14,3,122,50,3,0,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,8,10,2,2,6,2,False,False,False,False,False,False,False,9,5,2,#ffc9c9,#673ab7,,,#00bcd4,,5,3,True,True,2,0,
101,16,Xorphuuz,124,5,122,2,2,4,4,8,"['IRON_FISTS', 'LIGHTNING_LORD']",0,False,12,5,1,5,4,4,False,False,False,False,True,False,False,9,3,2,#ffd8a8,#03a9f4,#ffc107,,#2196f3,,6,4,False,True,2,0,
102,22,Drilphiuhleah,71,11,72,28,2,7,15,8,['FAST_KICK'],0,False,6,12,5,13,2,2,False,False,False,False,False,False,False,5,4,2,#1864ab,#ff5722,,,#f44336,#cddc39,6,4,True,False,1,0,
103,22,Glaurle,47,1,56,88,6,8,15,8,['FAST_KICK'],0,False,8,11,5,8,1,8,False,False,False,False,False,False,False,0,7,2,#845ef7,#e91e63,,,#f44336,#cddc39,6,4,True,False,1,0,
104,22,Jiozzorriu,43,2,76,47,1,4,15,8,['FAST_KICK'],0,False,19,11,1,3,1,6,False,False,False,False,False,False,False,5,5,2,#e5dbff,#9c27b0,,,#673ab7,#ffcdd2,6,4,True,False,1,0,
105,25,Proirzu,57,14,122,27,5,2,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,10,2,4,6,1,8,False,False,False,False,False,False,False,9,4,2,#5c7cfa,#ffffff,,,#ffcdd2,,5,3,True,True,2,0,
106,22,Porsikruuth,114,2,53,21,0,1,15,8,['FAST_KICK'],0,False,14,5,4,7,8,2,False,False,False,False,False,False,False,0,4,2,#ffec99,#9c27b0,,,#03a9f4,#00bcd4,6,4,True,False,1,0,
107,25,Blartuz,58,6,122,52,0,5,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,8,1,8,3,8,2,False,False,False,False,False,False,False,9,5,2,#4c6ef5,#009688,,,#4caf50,,5,3,True,True,2,0,
108,22,Ralforr,24,7,22,21,6,3,15,8,['FAST_KICK'],0,False,14,2,6,2,6,10,False,False,False,False,False,False,False,2,4,2,#fcc2d7,#4caf50,,,#03a9f4,#03a9f4,6,3,True,False,1,1,eyes=hair
109,22,Nimen,57,2,78,1,3,2,15,8,['FAST_KICK'],0,False,20,9,1,3,1,8,False,False,False,False,False,False,False,6,3,2,#5c7cfa,#9c27b0,,,#9c27b0,#e91e63,6,3,True,False,1,1,skull=eyes
110,22,Phruroth,31,0,52,29,2,3,15,8,['FAST_KICK'],0,False,11,8,3,6,2,10,False,False,False,False,False,False,False,0,4,2,#a61e4d,#f44336,,,#ffffff,#2196f3,6,4,True,False,1,0,
111,22,Baugisthuuh,49,12,76,4,2,4,15,8,['FAST_KICK'],0,False,10,6,7,9,2,6,False,False,False,False,False,False,False,5,3,2,#7048e8,#795548,,,#4caf50,#ffcdd2,6,4,True,False,1,0,
112,16,Ephriszuurr,93,12,122,75,2,0,5,8,"['FIRE_LORD', 'IRON_FISTS']",0,False,5,4,6,7,2,6,True,False,False,False,False,False,False,9,7,2,#d3f9d8,#795548,#ff5722,,#e91e63,,6,4,False,True,2,0,
