id,uniquenessIndex,name,backgroundId,skullGene,hairGene,eyesGene,noseGene,teethGene,bonesGene,beardGene,skills,rank,gameToken,intelligence,strength,dexterity,stamina,accuracy,speed,fireLord,regenerationLord,iceLord,poisonLord,lightningLord,archmage,immortal
18,13,Pheabhaal,76,2,36,80,2,2,5,8,['FIRE_LORD'],0,False,16,4,4,2,12,2,True,False,False,False,False,False,False
19,1,Thor,108,5,55,79,0,3,9,8,"['IMMORTALITY', 'REGENERATION_LORD']",0,False,12,1,11,7,6,4,False,True,False,False,False,False,True
20,1,Catrina,9,8,61,77,7,5,8,8,"['FIRE_LORD', 'IMMORTALITY']",0,False,11,9,8,6,1,6,True,False,False,False,False,False,True
21,22,Gozzucun,70,14,92,25,4,2,15,8,['FAST_KICK'],0,False,9,8,5,12,2,4,False,False,False,False,False,False,False
22,22,Sthraothruz,50,2,121,17,3,3,15,8,['FAST_KICK'],0,False,12,12,1,8,3,5,False,False,False,False,False,False,False
23,25,Naddigrouk,108,3,122,22,6,5,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,8,4,7,5,6,1,False,False,False,False,False,False,False
24,1,Don Salvador,41,13,89,63,1,10,12,8,"['IMMORTALITY', 'ICE_LORD']",0,False,15,13,3,7,1,2,False,False,True,False,False,False,True
25,11,Sthrekas,38,8,21,88,3,4,15,0,"['ARCHMAGE', 'FAST_KICK']",0,False,12,10,5,7,2,4,False,False,False,False,False,True,False
26,22,Dundos,91,9,70,44,7,1,15,8,['FAST_KICK'],0,False,5,4,7,12,12,1,False,False,False,False,False,False,False
27,1,Morpheo,61,1,122,70,3,8,12,5,"['IMMORTALITY', 'ARCHMAGE', 'ICE_LORD']",0,False,8,8,1,6,1,8,False,False,True,False,False,True,True
28,11,Joltoth,74,7,24,5,1,8,15,7,"['ARCHMAGE', 'FAST_KICK']",0,False,4,2,10,4,14,6,False,False,False,False,False,True,False
29,22,Luurlixaa,33,4,6,34,0,5,15,8,['FAST_KICK'],0,False,24,8,1,2,2,4,False,False,False,False,False,False,False
30,25,Sthauheashius,119,7,122,23,5,9,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,1,2,14,10,4,1,False,False,False,False,False,False,False
31,25,Sthrubiszen,6,1,122,50,7,0,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,7,5,5,1,6,6,False,False,False,False,False,False,False
32,22,Thokarzhiorm,47,9,86,20,0,0,15,8,['FAST_KICK'],0,False,13,10,3,8,6,1,False,False,False,False,False,False,False
33,22,Xeakne,32,3,70,52,1,3,15,8,['FAST_KICK'],0,False,13,9,7,3,8,1,False,False,False,False,False,False,False
34,12,Sthrextrett,6,3,25,84,3,0,1,8,['POISON_LORD'],0,False,9,9,11,9,2,1,False,False,False,True,False,False,False
35,25,Tabro,46,3,122,39,3,4,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,12,7,5,6,1,1,False,False,False,False,False,False,False
36,1,Old Jack,8,4,82,13,1,1,7,6,"['IMMORTALITY', 'ARCHMAGE', 'POISON_LORD']",0,False,15,4,3,6,5,7,False,False,False,True,False,True,True
37,22,Stiulfauddiuz,71,5,66,33,2,3,15,8,['FAST_KICK'],0,False,20,6,1,1,4,10,False,False,False,False,False,False,False
38,22,Blagramiuth,70,12,86,9,1,2,15,8,['FAST_KICK'],0,False,10,9,1,10,8,2,False,False,False,False,False,False,False
39,22,Vregrorr,114,6,11,61,7,4,15,8,['FAST_KICK'],0,False,8,7,6,13,6,1,False,False,False,False,False,False,False
40,26,Ghuulmaol,28,11,122,64,2,5,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,8,8,1,4,2,8,False,False,False,False,False,False,False
41,1,Captain Flint,66,3,27,67,3,5,10,3,"['FIRE_LORD', 'IMMORTALITY', 'ARCHMAGE']",0,False,12,6,8,8,4,2,True,False,False,False,False,True,True
42,1,Lilith,47,7,64,31,2,3,8,8,"['FIRE_LORD', 'IMMORTALITY']",0,False,11,5,9,7,2,6,True,False,False,False,False,False,True
43,1,Slayer,81,13,122,56,7,5,14,6,"['IMMORTALITY', 'ARCHMAGE', 'ICE_LORD']",0,False,5,9,5,5,6,1,False,False,True,False,False,True,True
44,22,Fruusziol,25,12,81,8,0,6,15,8,['FAST_KICK'],0,False,11,10,1,11,1,8,False,False,False,False,False,False,False
45,22,Raophrouxxiuth,130,2,93,30,6,1,15,8,['FAST_KICK'],0,False,9,11,3,11,3,3,False,False,False,False,False,False,False
46,12,Bossixak,37,4,89,41,2,6,4,8,['LIGHTNING_LORD'],0,False,12,15,1,11,1,2,False,False,False,False,True,False,False
47,22,Aogriokioth,113,14,37,50,4,2,15,8,['FAST_KICK'],0,False,11,2,7,10,8,2,False,False,False,False,False,False,False
48,22,Priaxxek,129,5,41,3,0,6,15,8,['FAST_KICK'],0,False,8,5,8,7,10,2,False,False,False,False,False,False,False
49,22,Keahraomlou,84,12,54,11,0,7,15,8,['FAST_KICK'],0,False,5,4,2,11,15,3,False,False,False,False,False,False,False
50,12,Dhourriadhuuth,118,3,103,50,4,8,2,8,['LIGHTNING_LORD'],0,False,8,8,6,12,6,1,False,False,False,False,True,False,False
51,22,Glialion,63,10,104,84,4,8,15,8,['FAST_KICK'],0,False,6,12,2,16,2,2,False,False,False,False,False,False,False
52,22,Vanunraak,121,1,39,70,4,10,15,8,['FAST_KICK'],0,False,4,9,4,11,6,6,False,False,False,False,False,False,False
53,15,Lonreth,65,7,122,2,6,5,15,4,"['ARCHMAGE', 'FAST_KICK']",0,False,12,1,6,2,6,4,False,False,False,False,False,True,False
54,25,Sloddao,43,13,122,34,2,6,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,15,9,3,3,1,1,False,False,False,False,False,False,False
55,16,Rougrou,89,14,122,14,6,6,6,8,"['IRON_FISTS', 'REGENERATION_LORD']",0,False,4,1,4,9,9,3,False,True,False,False,False,False,False
56,16,Wriasthu,12,8,122,7,2,0,12,8,"['ICE_LORD', 'IRON_FISTS']",0,False,1,8,7,13,1,2,False,False,True,False,False,False,False
57,12,Brirzhuzeth,67,8,49,5,4,5,14,8,['ICE_LORD'],0,False,13,4,6,7,2,8,False,False,True,False,False,False,False
58,22,Soingou,32,6,101,64,0,0,15,8,['FAST_KICK'],0,False,14,4,8,2,10,2,False,False,False,False,False,False,False
59,22,Slogeca,68,5,103,8,1,7,15,8,['FAST_KICK'],0,False,12,7,2,11,4,4,False,False,False,False,False,False,False
60,22,Thuggebla,53,12,70,77,6,9,15,8,['FAST_KICK'],0,False,16,8,1,7,6,2,False,False,False,False,False,False,False
61,22,Zaursebrec,124,12,37,72,7,8,15,8,['FAST_KICK'],0,False,10,8,1,11,2,8,False,False,False,False,False,False,False
62,22,Viadhiz,59,0,50,76,2,6,15,8,['FAST_KICK'],0,False,18,14,1,4,1,4,False,False,False,False,False,False,False
63,12,Hidukraan,30,5,79,53,6,2,6,8,['REGENERATION_LORD'],0,False,14,5,5,6,2,8,False,True,False,False,False,False,False
64,22,Umfaotrou,91,1,49,59,4,9,15,8,['FAST_KICK'],0,False,12,6,4,6,6,6,False,False,False,False,False,False,False
65,26,Cobriukkir,85,4,122,15,2,8,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,10,2,4,6,6,2,False,False,False,False,False,False,False
66,26,Sloiblistrass,0,5,122,11,4,5,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,9,1,3,8,5,5,False,False,False,False,False,False,False
67,25,Xukraol,59,3,122,30,1,9,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,15,8,3,2,1,2,False,False,False,False,False,False,False
68,25,Russu,51,4,122,22,3,4,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,14,4,2,2,6,2,False,False,False,False,False,False,False
69,22,Treakaurdutt,2,9,91,15,2,9,15,8,['FAST_KICK'],0,False,7,6,9,12,1,6,False,False,False,False,False,False,False
70,1,La Llorona,0,13,110,42,0,8,9,8,"['IMMORTALITY', 'REGENERATION_LORD']",0,False,12,11,6,11,1,1,False,True,False,False,False,False,True
71,22,Ghensius,29,7,69,33,5,2,15,8,['FAST_KICK'],0,False,6,4,8,2,8,12,False,False,False,False,False,False,False
72,22,Maubriandruth,65,10,79,50,5,2,15,8,['FAST_KICK'],0,False,14,8,2,6,8,2,False,False,False,False,False,False,False
73,12,Shousthearou,105,5,29,4,7,8,12,8,['ICE_LORD'],0,False,6,6,11,11,4,2,False,False,True,False,False,False,False
74,22,Shialrorsea,26,9,29,64,6,2,15,8,['FAST_KICK'],0,False,8,10,2,10,2,8,False,False,False,False,False,False,False
75,16,Drubess,113,4,122,84,5,2,5,8,"['FIRE_LORD', 'IRON_FISTS']",0,False,6,5,4,13,1,2,True,False,False,False,False,False,False
76,22,Gosol,80,13,101,68,4,6,15,8,['FAST_KICK'],0,False,5,3,16,8,8,1,False,False,False,False,False,False,False
77,16,Blodrio,16,5,122,80,2,2,12,8,"['ICE_LORD', 'IRON_FISTS']",0,False,8,6,2,2,8,4,False,False,True,False,False,False,False
78,11,Lluushio,71,13,83,49,5,4,15,4,"['ARCHMAGE', 'FAST_KICK']",0,False,21,3,3,1,6,6,False,False,False,False,False,True,False
79,25,Caaceth,97,4,122,44,0,8,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,9,1,9,7,2,2,False,False,False,False,False,False,False
80,22,Slicheldauz,102,2,0,20,7,1,15,8,['FAST_KICK'],0,False,12,7,5,10,3,3,False,False,False,False,False,False,False
81,12,Dossaas,45,4,103,42,4,9,10,8,['FIRE_LORD'],0,False,12,11,2,13,1,2,True,False,False,False,False,False,False
82,12,Dubaodditt,126,13,59,79,7,3,14,8,['ICE_LORD'],0,False,9,14,3,10,2,2,False,False,True,False,False,False,False
83,11,Ghinsiummouh,127,3,11,47,4,9,15,3,"['ARCHMAGE', 'FAST_KICK']",0,False,12,15,2,11,1,1,False,False,False,False,False,True,False
84,22,Thaozoi,119,3,104,12,3,5,15,8,['FAST_KICK'],0,False,6,11,2,15,3,3,False,False,False,False,False,False,False
85,22,Khaontaan,57,10,73,51,3,5,15,8,['FAST_KICK'],0,False,7,9,3,13,6,2,False,False,False,False,False,False,False
86,25,Edrux,23,10,122,37,7,0,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,4,7,2,5,6,6,False,False,False,False,False,False,False
87,25,Dhaakiobbauh,28,13,122,27,2,7,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,6,6,4,2,1,12,False,False,False,False,False,False,False
88,22,Dronti,67,9,12,63,5,2,15,8,['FAST_KICK'],0,False,12,8,2,12,2,4,False,False,False,False,False,False,False
89,22,Drurzinek,96,6,31,61,5,3,15,8,['FAST_KICK'],0,False,8,9,8,5,8,2,False,False,False,False,False,False,False
90,22,Yaalfurdeal,17,8,73,11,0,5,15,8,['FAST_KICK'],0,False,1,8,7,17,3,5,False,False,False,False,False,False,False
91,16,Tauthrauh,10,8,122,77,1,5,5,8,"['FIRE_LORD', 'IRON_FISTS']",0,False,9,7,8,6,1,1,True,False,False,False,False,False,False
92,25,Kriphruss,56,9,122,16,7,4,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,9,3,5,11,1,2,False,False,False,False,False,False,False
93,22,Theghabu,129,5,117,63,7,10,15,8,['FAST_KICK'],0,False,12,6,5,11,2,4,False,False,False,False,False,False,False
94,16,Xolti,23,9,122,23,2,6,5,8,"['FIRE_LORD', 'IRON_FISTS']",0,False,2,4,8,8,2,6,True,False,False,False,False,False,False
95,22,Rigrirr,27,10,82,44,4,3,15,8,['FAST_KICK'],0,False,11,7,3,9,2,8,False,False,False,False,False,False,False
96,11,Jahliuthrioz,67,6,109,11,1,6,15,1,"['ARCHMAGE', 'FAST_KICK']",0,False,10,2,2,4,11,11,False,False,False,False,False,True,False
97,22,Brurzhi,6,0,72,35,2,9,15,8,['FAST_KICK'],0,False,9,10,8,9,1,4,False,False,False,False,False,False,False
98,22,Jidrugihr,48,11,5,87,5,6,15,8,['FAST_KICK'],0,False,13,10,1,6,2,8,False,False,False,False,False,False,False
99,5,Phrianion,44,2,122,79,3,8,2,5,"['ARCHMAGE', 'LIGHTNING_LORD']",0,False,18,6,1,2,2,2,False,False,False,False,True,True,False
100,25,Oixxiz,14,3,122,50,3,0,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,8,10,2,2,6,2,False,False,False,False,False,False,False
101,16,Xorphuuz,124,5,122,2,2,4,4,8,"['IRON_FISTS', 'LIGHTNING_LORD']",0,False,12,5,1,5,4,4,False,False,False,False,True,False,False
102,22,Drilphiuhleah,71,11,72,28,2,7,15,8,['FAST_KICK'],0,False,6,12,5,13,2,2,False,False,False,False,False,False,False
103,22,Glaurle,47,1,56,88,6,8,15,8,['FAST_KICK'],0,False,8,11,5,8,1,8,False,False,False,False,False,False,False
104,22,Jiozzorriu,43,2,76,47,1,4,15,8,['FAST_KICK'],0,False,19,11,1,3,1,6,False,False,False,False,False,False,False
105,25,Proirzu,57,14,122,27,5,2,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,10,2,4,6,1,8,False,False,False,False,False,False,False
106,22,Porsikruuth,114,2,53,21,0,1,15,8,['FAST_KICK'],0,False,14,5,4,7,8,2,False,False,False,False,False,False,False
107,25,Blartuz,58,6,122,52,0,5,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,8,1,8,3,8,2,False,False,False,False,False,False,False
108,22,Ralforr,24,7,22,21,6,3,15,8,['FAST_KICK'],0,False,14,2,6,2,6,10,False,False,False,False,False,False,False
109,22,Nimen,57,2,78,1,3,2,15,8,['FAST_KICK'],0,False,20,9,1,3,1,8,False,False,False,False,False,False,False
110,22,Phruroth,31,0,52,29,2,3,15,8,['FAST_KICK'],0,False,11,8,3,6,2,10,False,False,False,False,False,False,False
111,22,Baugisthuuh,49,12,76,4,2,4,15,8,['FAST_KICK'],0,False,10,6,7,9,2,6,False,False,False,False,False,False,False
112,16,Ephriszuurr,93,12,122,75,2,0,5,8,"['FIRE_LORD', 'IRON_FISTS']",0,False,5,4,6,7,2,6,True,False,False,False,False,False,False
113,2,Ikholdoin,63,7,120,86,4,9,0,2,"['ARCHMAGE', 'POISON_LORD']",0,False,7,7,7,7,4,8,False,False,False,True,False,True,False
114,15,Gloutruuszaul,114,3,122,75,7,8,15,2,"['ARCHMAGE', 'FAST_KICK']",0,False,8,8,2,6,1,6,False,False,False,False,False,True,False
115,11,Yeashiograas,66,5,118,16,6,9,15,5,"['ARCHMAGE', 'FAST_KICK']",0,False,15,2,5,10,4,4,False,False,False,False,False,True,False
116,25,Sliahao,104,5,122,47,5,9,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,12,4,5,5,2,2,False,False,False,False,False,False,False
117,22,Donisitt,37,12,24,39,0,9,15,8,['FAST_KICK'],0,False,10,7,6,11,6,1,False,False,False,False,False,False,False
118,26,Wriacoin,78,5,122,78,0,0,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,14,1,2,1,8,4,False,False,False,False,False,False,False
119,22,Thraalteknak,123,6,73,16,5,9,15,8,['FAST_KICK'],0,False,5,7,7,15,6,1,False,False,False,False,False,False,False
120,25,Giannal,16,4,122,74,5,6,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,9,7,3,7,1,4,False,False,False,False,False,False,False
121,12,Sabraah,33,13,14,63,0,3,13,8,['ICE_LORD'],0,False,15,14,3,6,1,2,False,False,True,False,False,False,False
122,22,Droxxoiss,26,6,117,69,7,0,15,8,['FAST_KICK'],0,False,4,4,9,11,6,6,False,False,False,False,False,False,False
123,22,Reria,76,14,100,85,5,4,15,8,['FAST_KICK'],0,False,6,6,6,10,12,1,False,False,False,False,False,False,False
124,22,Xinruddow,62,4,51,5,6,6,15,8,['FAST_KICK'],0,False,19,3,1,3,2,12,False,False,False,False,False,False,False
125,16,Crathitirth,48,8,122,66,2,6,0,8,"['POISON_LORD', 'IRON_FISTS']",0,False,7,4,6,7,6,1,False,False,False,True,False,False,False
126,22,Phessaas,84,8,17,77,4,0,15,8,['FAST_KICK'],0,False,7,5,6,10,9,3,False,False,False,False,False,False,False
127,22,Stholdekkitt,23,2,121,17,6,10,15,8,['FAST_KICK'],0,False,8,11,1,7,3,11,False,False,False,False,False,False,False
128,11,Frirlaolraul,131,6,76,20,4,8,15,7,"['ARCHMAGE', 'FAST_KICK']",0,False,9,10,3,6,6,6,False,False,False,False,False,True,False
129,25,Sirnaummoin,107,11,122,88,5,4,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,1,12,5,11,1,2,False,False,False,False,False,False,False
130,22,Phraustriz,36,8,93,5,5,9,15,8,['FAST_KICK'],0,False,7,5,6,10,3,9,False,False,False,False,False,False,False
131,22,Asziotiutt,90,6,23,22,0,6,15,8,['FAST_KICK'],0,False,7,1,7,1,24,1,False,False,False,False,False,False,False
132,22,Khaorkurm,18,12,81,63,3,5,15,8,['FAST_KICK'],0,False,15,10,1,9,1,6,False,False,False,False,False,False,False
133,26,Lesaoth,40,14,122,66,3,0,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,10,5,4,5,6,1,False,False,False,False,False,False,False
134,25,Xordusza,84,13,122,86,1,1,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,4,10,4,6,6,1,False,False,False,False,False,False,False
135,26,Xarphou,84,10,122,22,2,10,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,3,6,3,6,12,1,False,False,False,False,False,False,False
136,11,Debbion,65,5,69,81,1,3,15,7,"['ARCHMAGE', 'FAST_KICK']",0,False,15,1,3,1,16,4,False,False,False,False,False,True,False
137,22,Fruuzziogon,62,11,14,30,1,5,15,8,['FAST_KICK'],0,False,9,15,3,9,2,2,False,False,False,False,False,False,False
138,16,Waandrangaan,113,10,122,46,7,6,10,8,"['FIRE_LORD', 'IRON_FISTS']",0,False,6,10,2,12,1,1,True,False,False,False,False,False,False
139,22,Bliszux,73,7,104,83,4,3,15,8,['FAST_KICK'],0,False,2,5,13,12,8,1,False,False,False,False,False,False,False
140,22,Piazilea,105,12,78,2,0,4,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,11,4,5,10,2,8,False,False,False,False,False,False,True
141,22,Eheggiuc,10,12,33,81,5,5,15,8,['FAST_KICK'],0,False,9,8,4,7,6,6,False,False,False,False,False,False,False
142,22,Kraulthaostris,98,6,44,1,1,0,15,8,['FAST_KICK'],0,False,8,8,8,8,8,1,False,False,False,False,False,False,False
143,25,Theahauxxuc,77,8,122,46,4,6,15,8,"['IMMORTALITY', 'IRON_FISTS', 'FAST_KICK']",0,True,8,3,7,6,6,1,False,False,False,False,False,False,True
144,25,Ernioddis,7,2,122,53,3,3,15,8,"['IMMORTALITY', 'IRON_FISTS', 'FAST_KICK']",0,True,9,6,8,7,1,1,False,False,False,False,False,False,True
145,22,Stharpakoihr,8,8,106,25,7,10,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,4,6,11,13,1,6,False,False,False,False,False,False,True
146,22,Thioshizeas,44,8,116,71,2,1,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,6,9,11,12,2,1,False,False,False,False,False,False,True
147,22,Hirsoih,3,7,5,71,0,9,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,9,9,9,7,4,2,False,False,False,False,False,False,True
148,22,Okean,55,3,74,84,3,4,15,8,['FAST_KICK'],0,False,12,12,2,12,1,2,False,False,False,False,False,False,False
149,22,Phaodrou,66,12,90,71,5,10,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,9,14,1,13,2,2,False,False,False,False,False,False,True
150,22,Theazaulrian,45,1,90,83,2,10,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,8,11,5,10,1,6,False,False,False,False,False,False,True
151,22,Waarlodrio,83,11,80,27,3,7,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,8,12,2,6,6,6,False,False,False,False,False,False,True
152,22,Zimokrox,57,13,8,12,1,7,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,10,5,4,7,9,5,False,False,False,False,False,False,True
153,22,Xuuttea,36,14,60,2,3,0,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,16,5,4,5,2,8,False,False,False,False,False,False,True
154,11,Oulizzaa,131,14,46,35,2,10,15,5,"['ARCHMAGE', 'FAST_KICK']",0,False,10,7,4,11,1,8,False,False,False,False,False,True,False
155,22,Vroldegerth,37,6,13,30,6,3,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,11,12,5,6,6,1,False,False,False,False,False,False,True
156,22,Wrauszi,43,5,48,87,3,5,15,8,['FAST_KICK'],0,False,13,4,1,6,5,11,False,False,False,False,False,False,False
157,22,Oigaknorth,88,9,61,85,0,0,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,3,10,3,12,6,6,False,False,False,False,False,False,True
158,22,Ujorchess,110,5,68,71,4,0,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,12,6,5,9,4,4,False,False,False,False,False,False,True
159,22,Iudriolphoz,8,12,21,8,5,7,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,12,10,3,11,2,2,False,False,False,False,False,False,True
160,22,Thorpolthorth,6,14,65,84,0,0,15,8,['FAST_KICK'],0,False,12,8,8,12,1,1,False,False,False,False,False,False,False
161,22,Thriutroulme,4,10,77,87,6,0,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,4,9,4,11,3,9,False,False,False,False,False,False,True
162,22,Lloumfoh,90,5,83,76,0,9,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,19,4,1,2,10,4,False,False,False,False,False,False,True
163,25,Honthogew,40,7,122,88,0,2,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,6,10,6,4,2,2,False,False,False,False,False,False,False
164,25,Praknalfu,29,5,122,2,3,7,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,14,2,1,1,4,10,False,False,False,False,False,False,False
165,22,Trebelrerr,67,4,100,66,0,10,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,14,3,2,3,14,4,False,False,False,False,False,False,True
166,16,Cital,14,5,122,22,7,10,1,8,"['POISON_LORD', 'IRON_FISTS']",0,False,8,6,2,2,8,4,False,False,False,True,False,False,False
167,22,Uthaghu,88,0,35,84,2,0,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,7,13,3,9,6,2,False,False,False,False,False,False,True
168,22,Yiuthari,108,11,68,15,2,2,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,9,6,8,13,2,2,False,False,False,False,False,False,True
169,22,Rurchaahihr,88,7,79,2,4,9,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,13,4,7,4,10,2,False,False,False,False,False,False,True
170,22,Thrikhongehr,1,9,15,24,1,10,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,1,3,8,16,3,9,False,False,False,False,False,False,True
171,22,Chesiox,33,1,23,7,5,10,15,8,['FAST_KICK'],0,False,10,8,4,6,6,6,False,False,False,False,False,False,False
172,16,Koltheagron,123,12,122,16,0,0,13,8,"['ICE_LORD', 'IRON_FISTS']",0,False,6,7,3,14,1,1,False,False,True,False,False,False,False
173,22,Nourralleah,99,2,3,49,3,1,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,18,7,6,3,4,2,False,False,False,False,False,False,True
174,22,Khiastriul,107,6,47,85,1,3,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,2,11,7,12,6,2,False,False,False,False,False,False,True
175,2,Cikhirm,124,1,13,46,7,1,3,1,"['ARCHMAGE', 'LIGHTNING_LORD']",0,False,8,15,1,11,1,6,False,False,False,False,True,True,False
176,25,Uphiriath,33,0,122,62,6,2,15,8,"['IMMORTALITY', 'IRON_FISTS', 'FAST_KICK']",0,True,12,14,1,2,1,2,False,False,False,False,False,False,True
177,11,Seblekho,63,10,93,82,7,0,15,4,"['ARCHMAGE', 'FAST_KICK']",0,False,6,5,6,11,7,5,False,False,False,False,False,True,False
178,12,Krekhenthe,34,6,78,47,6,0,6,8,['REGENERATION_LORD'],0,False,16,10,2,1,6,6,False,True,False,False,False,False,False
179,22,Koshoblik,119,6,2,2,1,1,15,8,"['IMMORTALITY', 'FAST_KICK']",0,True,14,5,4,7,8,2,False,False,False,False,False,False,True
180,22,Shrathrial,29,2,51,65,2,3,15,8,['FAST_KICK'],0,False,16,6,2,2,6,8,False,False,False,False,False,False,False
181,12,Grotabro,52,0,79,48,5,7,13,8,['ICE_LORD'],0,False,18,11,1,5,1,6,False,False,True,False,False,False,False
182,25,Cekhas,8,1,122,40,3,6,15,8,"['IRON_FISTS', 'FAST_KICK']",0,False,5,7,5,7,1,6,False,False,False,False,False,False,False
183,25,Srintodrehr,44,9,122,11,0,1,15,8,"['IMMORTALITY', 'IRON_FISTS', 'FAST_KICK']",0,True,6,5,2,11,3,3,False,False,False,False,False,False,True
